layer,type,v_min,v_max,abs_max,int_bits,Q,scale,max_repr,overflow,format,num_bits
mobilevit.encoder.layer.0,MobileViTMobileNetLayer,-8.6276,11.81964,11.81964,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.1.layer.0.expand_1x1.convolution,Conv2d,-16.70092,16.48302,16.70092,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.encoder.layer.1.layer.0.expand_1x1.normalization,BatchNorm2d,-108.71027,147.05774,147.05774,9,7,0.0078125,255.99219,False,Q8.7,16
mobilevit.encoder.layer.1.layer.0.expand_1x1.activation,SiLUActivation,-0.27846,147.05774,147.05774,9,7,0.0078125,255.99219,False,Q8.7,16
mobilevit.encoder.layer.1.layer.0.expand_1x1,MobileViTConvLayer,-0.27846,147.05774,147.05774,9,7,0.0078125,255.99219,False,Q8.7,16
mobilevit.encoder.layer.1.layer.0.conv_3x3.convolution,Conv2d,-71.10572,123.4576,123.4576,8,8,0.00390625,127.99609,False,Q7.8,16
mobilevit.encoder.layer.1.layer.0.conv_3x3.normalization,BatchNorm2d,-17.99716,12.80618,17.99716,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.encoder.layer.1.layer.0.conv_3x3.activation,SiLUActivation,-0.27846,12.80615,12.80615,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.1.layer.0.conv_3x3,MobileViTConvLayer,-0.27846,12.80615,12.80615,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.1.layer.0.reduce_1x1.convolution,Conv2d,-9.87475,7.71703,9.87475,5,11,0.00048828125,15.99951,False,Q4.11,16
